business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
9A2quhZLyWk0akUetBd8hQ,Bnc Cake House,Koreatown,631 Bloor St W,Toronto,ON,M6G 1K8,43.6643776,-79.4144238,4,7,0,"Food, Bakeries"
tZnSodhPwNr4bzrwJ1CSbw,Southern Accent Restaurant,Palmerston,595 Markham Street,Toronto,ON,M6G 2L7,43.6641249,-79.4118861,4,146,0,"Cajun/Creole, Southern, Restaurants"
5J3b7j3Fzo9ISjChmoUoUA,Mabel's Bakery,Wychwood,746 Street Clair Avenue W,Toronto,ON,M6C 1B5,43.6813277,-79.4278838,4,23,1,"Food, Bakeries, Coffee & Tea"
PMDlKLd0Mxj0ngCpuUmE5Q,The Coffee Mill Restaurant,Yorkville,99 Yorkville Avenue,Toronto,ON,M5R 3K5,43.6708846,-79.3923788,3.5,25,0,"Restaurants, Food, Canadian (New), Coffee & Tea"
zHwXoh40k86P0aiN1aix9Q,Super 8 by Wyndham Toronto East ON,Scarborough,3280 Kingston Road,Toronto,ON,M1M 1P8,43.7333951,-79.224205799999993,2,3,1,"Hotels, Hotels & Travel, Event Planning & Services"
wv9KN5x8L2qzKFq_6Hzf9g,Legislative Assembly of Ontario,Discovery District,1 Queens Park Crescent E,Toronto,ON,M5S,43.6619640179,-79.3912587147,4.5,3,1,"Public Services & Government, Landmarks & Historical Buildings"
RJEtBRLJmmji_QoqS6ysjg,Royal Conservatory of Music,University of Toronto,273 Bloor Street W,Toronto,ON,M5S 1W2,43.6677486,-79.3961666,4.5,3,1,"Music Venues, Arts & Entertainment, Nightlife"
YIez_A3WOt9J2SXN7OMa2Q,Allwyn's Bakery,,81 Underhill Drive,Toronto,ON,M3A 1K8,43.7459284,-79.3246225,4,105,1,"Caribbean, Food, Bakeries, Restaurants"
xuUzASHWjRJRFv6Ck5pO7g,Fornetti,Financial District,"Richmond Adelaide Centre, 120 Adelaide St W",Toronto,ON,M5H 3V1,43.6499721,-79.3832232,3.5,3,0,"Food, Bakeries"
mr3rQcYBKWu2L6o7qtQ9Wg,Hub Coffee House & Locavorium,Christie Pits,1028 Shaw St,Toronto,ON,M6G 3N2,43.6691157,-79.4260211,4,31,0,"Restaurants, Food, Coffee & Tea, Breakfast & Brunch"
Q_cfbLdAxkLiEZW5TO5T6A,More Than Pies Baking,Etobicoke,3469 Lake Shore Boulevard W,Toronto,ON,M8W 1N2,43.5951494,-79.5299771,4,9,1,"Food, Bakeries"
Ea5a2Ov4s_D3Vx4j7jkEEg,Shoppers Drug Mart,,550 Eglinton Avenue W,Toronto,ON,M5N 0A1,43.703344498,-79.4154372029,1,3,1,"Drugstores, Shopping"
cuXCQM-9VwpZlSneEY1b3w,Indian Street Food Company,Mount Pleasant and Davisville,1701 Bayview Avenue,Toronto,ON,M4G 3C1,43.708002,-79.375814,3.5,51,1,"Nightlife, Wine Bars, Indian, Restaurants, Bars"
hsWx7ya8jLMhi8ZWX23Thg,Harvey's Restaurants,Yonge and Eglinton,49 Eglinton Ave East,Toronto,ON,M4P 1G6,43.7069830501,-79.3964988202,2,5,1,"American (Traditional), Burgers, Fast Food, Restaurants"
DcyeRzICLrMkrPpJDzjQ6Q,Honey's Beestro,The Beach,"2383 Queen Street E, Unit 2379",Toronto,ON,M4E 1H5,43.6741639265,-79.2873923228,2,6,0,"Nightlife, Bars, Restaurants, Canadian (New), Pubs"
UXbeKSeE9IElaThfRGIQ0w,Dog Care Wonderland,Willowdale,5496 Yonge St,Toronto,ON,M2N 7L3,43.7781622,-79.415482,1,4,1,"Pet Services, Pets, Pet Sitting, Pet Stores, Pet Groomers"
lBzZKw6FYxbin9de9GAhTQ,Affordable Textiles,Queen Street West,531 Queen Street W,Toronto,ON,M5V 2B4,43.6480029,-79.3991983,3.5,15,1,"Fabric Stores, Shopping, Arts & Crafts"
