photo_id,business_id,caption,label
dnRXpNt8bKC9yNNOgZK__w,qlPyuJ77Znjh30I2kTs1xQ,Le Café Michi,inside
3cwaE0tcVY7ybZwZBiugMA,qlPyuJ77Znjh30I2kTs1xQ,Chochin Bento,food
7_apoLmGhGezxJrl7JED4A,qlPyuJ77Znjh30I2kTs1xQ,,food
xhU_rBnbOeEPY1SNnhkYlg,qlPyuJ77Znjh30I2kTs1xQ,,food
W_mi_M5Wy_VwnIZcbpOQpQ,qlPyuJ77Znjh30I2kTs1xQ,,outside
NaGVIUyTOGFHVExafBUEBg,qlPyuJ77Znjh30I2kTs1xQ,uni sashimi,food
FS5HFSfOu1O8s92Xtm_L8g,qlPyuJ77Znjh30I2kTs1xQ,deep fried chicken,food
5vUkI5WB8Gp72rlL1Ol8eA,qlPyuJ77Znjh30I2kTs1xQ,Unagi on rice,food
00IYq2R2-ZMI5rugkvDNow,qlPyuJ77Znjh30I2kTs1xQ,Horrible blueberry cheesecake,food
sIbwxpfbkJT1JtYX6W3GGg,qlPyuJ77Znjh30I2kTs1xQ,Tofu cheesecake,food
Y6QXzGk84dOjRvLkX6HY7A,qlPyuJ77Znjh30I2kTs1xQ,,food
kui2I9DAzRqtTwuwGkeuvQ,qlPyuJ77Znjh30I2kTs1xQ,Chefs at work,inside
9lWsv7skv5pOfuF95Y4x_A,qlPyuJ77Znjh30I2kTs1xQ,,food
YkK_ebN70XSGp6dq2VHrow,qlPyuJ77Znjh30I2kTs1xQ,,food
QT5XYaa1W1JaXlBE81hX_w,qlPyuJ77Znjh30I2kTs1xQ,,food
4o6M97oFAPaXiU_LCRzn-g,qlPyuJ77Znjh30I2kTs1xQ,,food
WK7wbKz8oZ-sZoIn1rZMcA,qlPyuJ77Znjh30I2kTs1xQ,Tiramisu cake,food
DcpfD-XTo7dtmoBlb_0fQg,qlPyuJ77Znjh30I2kTs1xQ,,food
FxKGUob8wzmM6DsjwGZX0Q,qlPyuJ77Znjh30I2kTs1xQ,,food
C8_elfbuT2CoVmlxpO-RpQ,qlPyuJ77Znjh30I2kTs1xQ,,food
QdFgXeVSdoEQwuBeGcEMsw,qlPyuJ77Znjh30I2kTs1xQ,,food
ZwMW8AXBuWBULiLFDSspuQ,qlPyuJ77Znjh30I2kTs1xQ,,food
oV1K6kvwpyPXI0Z3ApSFFg,qlPyuJ77Znjh30I2kTs1xQ,,food
P9sNX7g0kF39XIqyhUSscQ,qlPyuJ77Znjh30I2kTs1xQ,,food
jWHnZ7nvWDm5XMW7o9zmaA,qlPyuJ77Znjh30I2kTs1xQ,Green tea cake,food
FdemKtBERjj4tMyPfTXr8Q,qlPyuJ77Znjh30I2kTs1xQ,One of my favourite Japanese restaurant.,food
U4KovYRv9mAi_yPQXsxK0g,S47qerKWSdrq2q6XwFgYrg,,food
-C-I4izSDAOZlAbqkRVtdw,S47qerKWSdrq2q6XwFgYrg,,food
O4NStNz5nnSyhAms4Tkt8Q,S47qerKWSdrq2q6XwFgYrg,,food
OS56gyE7DbhsWA4MUly2iA,S47qerKWSdrq2q6XwFgYrg,,drink
JqkuvMj4n4d2eo5e4eDP3Q,S47qerKWSdrq2q6XwFgYrg,,food
UJuYtm_50BsfST70IRWZkA,S47qerKWSdrq2q6XwFgYrg,,food
DA4LTLaMngJZgB0kXxLUCg,S47qerKWSdrq2q6XwFgYrg,,food
m6PgO2iJVVbaub8QYk6e9g,KbNmZoTFUm22rIWSJe6cEQ,"Daily special: sandwich, fries, coleslaw and pickles for $11.25",food
dMQwrIbwNcle-ltALz9NEw,INRkSdAPW2WUjVSdEPZa8A,Bangkok street style lunch combo. Fresh salad and spring roll. I would recommend regular pad thai.,food
-kvW54VsMg1JUQhj6x2OcQ,KuxDPl6UYNLxFChPm0_MNw,Beef Tenderloin with a Peach Chutney,food
yfeY6VQe5sSvfLDSLwgZPg,KuxDPl6UYNLxFChPm0_MNw,Butternut Squash Ravioli,food
4CHX3HMotR7vAV0VqivPzw,KuxDPl6UYNLxFChPm0_MNw,Watermelon and Arugula Salad,food
rwZqfAhaOsWptgNDrl0lsA,KuxDPl6UYNLxFChPm0_MNw,Deconstructed Bruschetta,food
BRzdtq2pFiklknBWNG6NDA,KuxDPl6UYNLxFChPm0_MNw,Mozzarella Stuffed Meatballs,food
TPWPO-XWHVuIq4ZeyZSClQ,KuxDPl6UYNLxFChPm0_MNw,New interior design,inside
XGs3Nz1llL1BXyu_1RBbTA,KuxDPl6UYNLxFChPm0_MNw,,food
090TnAKkodvNDMhtFv2_1A,KuxDPl6UYNLxFChPm0_MNw,,inside
rbmSOF_Le9wCPgc-syroMA,KuxDPl6UYNLxFChPm0_MNw,Burn on top right lip,food
00E3SvcJsW445Y3EuROy1g,KuxDPl6UYNLxFChPm0_MNw,Isn't this the tackiest thing ever?,inside
PiHcVDjLg8_MSF_5Dh1yaw,4IZsGR2mSg7jiCKKZ6VZkQ,Classic Breakfast: Scrambled Eggs and Bacon,food
ymTTrSrW2KjP_55vCNNY7A,4IZsGR2mSg7jiCKKZ6VZkQ,,inside
LvGjyc6qenL264VleNoj7g,8FqfLM0Kv3Grr9l8bOAlCA,,inside
UxrYQ0nV8l-VWKwKcTeVNA,8FqfLM0Kv3Grr9l8bOAlCA,,food
I06VX03B-QJJwz2jboYjAA,8FqfLM0Kv3Grr9l8bOAlCA,,inside
5h_7GLfSEshP4p8ZMYbDiA,rU3gQnwoCx_bjDJEsxathA,Celebratory time prior to a showing its only 5:30 that's why we are all alone. #losers,inside
dI4TYK5OHCOYEznUIDno9g,rU3gQnwoCx_bjDJEsxathA,Antipasti was delish,food
9xyj5z3eFSr2huW_vRQDsw,GuiGKSh3_Z-V8L79McM5Ow,,inside
tCI65zjnmszwK12rSqCAUQ,sTigKodOrD_HIdcZ8msGJw,Back room,inside
W9FUA1JHz-ZF_Q0ms1-uIg,sTigKodOrD_HIdcZ8msGJw,Back room,inside
CCh4jge8iit9hE1PjgKzuw,qXk2CS1-6jKTKpMUIgN9kQ,Chicken Wings,food
3jhi_wKy4_JeyX4bkABrLw,qXk2CS1-6jKTKpMUIgN9kQ,Nachos,food
CQ3GXJ0vHC6OVR0Oen84LQ,wk6aHP-vxv9dhmmJVDWnPg,,inside
